period,date,time,ped,cross,headway,speed,spcu,flow,case,shared,oneway,park,mark,trees,bollards,width,cross_y,s_width,inters,bench,obst,lev_segr
135,"Saturday, June 19, 2021",12:49:00,15,5,1.0,29.0,0.0,60.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
136,"Saturday, June 19, 2021",12:51:00,7,2,0.35,26.33,3.0,171.4285714,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
137,"Saturday, June 19, 2021",12:54:00,6,2,0.53,33.5,2.0,113.20754720000001,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
138,"Saturday, June 19, 2021",12:56:00,7,1,0.43,29.5,3.0,139.5348837,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
139,"Saturday, June 19, 2021",12:58:00,5,0,0.15,31.22,9.0,400.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
140,"Saturday, June 19, 2021",13:00:00,4,4,0.31,30.67,4.0,193.5483871,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
141,"Saturday, June 19, 2021",13:02:00,14,1,0.63,7.0,1.0,95.23809524,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
142,"Saturday, June 19, 2021",13:05:00,10,3,0.6,37.5,2.0,100.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
143,"Saturday, June 19, 2021",13:09:00,12,3,0.19,23.0,9.5,315.7894737,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
144,"Saturday, June 19, 2021",13:11:00,16,3,0.26,23.75,4.0,230.76923080000003,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
145,"Saturday, June 19, 2021",13:13:00,7,1,0.15,25.0,4.5,400.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
146,"Saturday, June 19, 2021",13:15:00,6,2,0.32,21.33,4.0,187.5,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
147,"Saturday, June 19, 2021",13:20:00,7,1,0.31,30.33,3.5,193.5483871,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
148,"Saturday, June 19, 2021",13:22:00,9,2,1.0,29.0,0.0,60.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
149,"Saturday, June 19, 2021",13:24:00,11,2,1.0,29.0,0.0,60.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
