period,date,time,ped,cross,headway,speed,spcu,flow,case
190,"Saturday, June 19, 2021",19:49:00,9,2,0.53,33,2,113.2075472,covnaf
191,"Saturday, June 19, 2021",19:51:00,7,3,0.26,32.33,4,230.7692308,covnaf
192,"Saturday, June 19, 2021",19:54:00,16,3,0.28,29.25,4.5,214.2857143,covnaf
193,"Saturday, June 19, 2021",19:56:00,15,5,0.43,34,1.5,139.5348837,covnaf
194,"Saturday, June 19, 2021",19:58:00,13,1,0.37,29,4,162.1621622,covnaf
195,"Saturday, June 19, 2021",20:00:00,10,1,0.16,31.75,4.5,375,covnaf
196,"Saturday, June 19, 2021",20:02:00,9,1,0.37,32.67,2,162.1621622,covnaf
197,"Saturday, June 19, 2021",20:05:00,9,5,0.48,33,2,125,covnaf
198,"Saturday, June 19, 2021",20:09:00,16,4,0.27,37.5,2,222.2222222,covnaf
199,"Saturday, June 19, 2021",20:12:00,17,5,0.58,28,2,103.4482759,covnaf
200,"Saturday, June 19, 2021",20:16:00,9,4,0.2,15.8,4.5,300,covnaf
201,"Saturday, June 19, 2021",20:19:00,12,2,1,29,0,60,covnaf
202,"Saturday, June 19, 2021",20:21:00,13,4,0.41,30.5,1.5,146.3414634,covnaf
203,"Saturday, June 19, 2021",20:23:00,20,5,0.24,28.5,5.5,250,covnaf
204,"Saturday, June 19, 2021",20:25:00,14,4,0.15,22.14,10,400,covnaf
205,"Saturday, June 19, 2021",20:29:00,25,2,0.18,27.33,9,333.3333333,covnaf
206,"Saturday, June 19, 2021",20:30:00,14,3,0.13,19.25,8.5,461.5384615,covnaf
207,"Saturday, June 19, 2021",20:32:00,37,1,0.33,25.25,3.5,181.8181818,covnaf
208,"Saturday, June 19, 2021",20:34:00,30,1,0.25,26.33,2.5,240,covnaf
209,"Saturday, June 19, 2021",20:37:00,13,2,0.19,17.6,5,315.7894737,covnaf
