case,flow,speed,dspeed,lspeed,comply,ped,cross,shared,oneway,lanes,mark,trees,bollards,width,cross_y,s_width,bench,obst,lev_segr,vis_segr,pedcross,shpedspace,shped
lsho,60,10.04442211,1.103344088,0.04442211,1.004442211,150,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.4,0.666666667,0.714285714
lsho,270,8.830790698,-0.110287324,-1.169209302,0.88307907,90,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.333333333,0.666666667,0.25
lsho,120,9.163771429,0.222693407,-0.836228571,0.916377143,210,90,1,1,1,1,1,0,3,0,3,1,0,0,1,0.428571429,0.666666667,0.636363636
lsho,270,9.39251773,0.451439708,-0.60748227,0.939251773,180,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.166666667,0.666666667,0.4
lsho,90,10.36973684,1.428658818,0.36973684,1.036973684,210,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.285714286,0.666666667,0.7
lsho,120,10.49459384,1.553515818,0.49459384,1.049459384,120,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.25,0.666666667,0.5
lsho,150,9.429951923,0.488873901,-0.570048077,0.942995192,150,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.5
lsho,180,8.957991453,0.016913431,-1.042008547,0.895799145,270,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.6
lsho,150,10.83206081,1.890982788,0.83206081,1.083206081,30,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.166666667
lsho,270,7.251535088,-1.689542934,-2.748464912,0.725153509,150,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.357142857
lsho,210,6.298373016,-2.642705006,-3.701626984,0.629837302,330,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.181818182,0.666666667,0.611111111
lsho,210,9.772318008,0.831239986,-0.227681992,0.977231801,60,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.222222222
lsho,150,8.906413793,-0.034664229,-1.093586207,0.890641379,90,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.333333333,0.666666667,0.375
lsho,240,8.991312217,0.050234195,-1.008687783,0.899131222,150,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.2,0.666666667,0.384615385
lsho,120,9.432428571,0.491350549,-0.567571429,0.943242857,300,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.714285714
lsho,300,9.800441176,0.859363154,-0.199558824,0.980044118,270,180,1,1,1,1,1,0,3,0,3,1,0,0,1,0.666666667,0.666666667,0.473684211
lsho,210,9.279401198,0.338323176,-0.720598802,0.92794012,180,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.461538462
lsho,90,13.09605263,4.154974608,3.09605263,1.309605263,180,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.333333333,0.666666667,0.666666667
lsho,90,9.575582524,0.634504502,-0.424417476,0.957558252,150,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.2,0.666666667,0.625
lsho,180,9.870884211,0.929806189,-0.129115789,0.987088421,90,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.333333333
lsho,240,4.537247387,-4.403830635,-5.462752613,0.453724739,240,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.125,0.666666667,0.5
lsho,240,6.093779528,-2.847298494,-3.906220472,0.609377953,90,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.272727273
lsho,180,9.316057234,0.374979212,-0.683942766,0.931605723,240,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.571428571
lsho,210,8.476800502,-0.46427752,-1.523199498,0.84768005,240,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.25,0.666666667,0.533333333
